oripathologie;commentaire;auteur;fr;cn;ar;th;ro;pl;pt;ja;it;es;de;en;
prognathisme mandibulaire modéré sévère;Considérer une approche chirurgicale combinée à l'orthodontie pour corriger l'occlusion.;gpt4o;Considérer une approche chirurgicale combinée à l'orthodontie pour corriger l'occlusion.;考虑采用手术结合正畸的方法来矫正咬合。;فكر في اتباع نهج جراحي مقترن بتقويم الأسنان لتصحيح الإطباق.;พิจารณาการผ่าตัดร่วมกับการจัดฟันเพื่อแก้ไขการสบฟัน;Luați în considerare o abordare chirurgicală combinată cu ortodonția pentru a corecta ocluzia.;Rozważ podejście chirurgiczne w połączeniu z ortodoncją w celu skorygowania zgryzu.;Considerar uma abordagem cirúrgica combinada com ortodontia para corrigir a oclusão.;外科的アプローチと歯科矯正を併用した咬合矯正を検討する。;Considerare un approccio chirurgico combinato con l'ortodonzia per correggere l'occlusione.;Considere un enfoque quirúrgico combinado con ortodoncia para corregir la oclusión.;Ziehen Sie einen chirurgischen Ansatz in Kombination mit Kieferorthopädie in Betracht, um die Okklusion zu korrigieren.;Considérer a approche chirurgicale combinée to l'orthodontie for corriger l'occlusion.;
prognathisme maxillaire;Évaluer la relation occlusale et envisager l'orthopédie fonctionnelle.;gpt4o;Évaluer la relation occlusale et envisager l'orthopédie fonctionnelle.;评估咬合关系并考虑功能性矫形。;تقييم علاقة الإطباق والنظر في تقويم الأسنان الوظيفي.;ประเมินความสัมพันธ์ของการสบฟันและพิจารณาการแก้ไขทางออร์โธปิดิกส์เชิงหน้าที่;Evaluați relația ocluzală și luați în considerare ortopedia funcțională.;Ocenić relacje zgryzowe i rozważyć ortopedię funkcjonalną.;Avaliar a relação oclusal e considerar a ortopedia funcional.;咬合関係を評価し、機能的矯正を考慮する。;Valutare la relazione occlusale e considerare l'ortopedia funzionale.;Evaluar la relación oclusal y considerar la ortopedia funcional.;Beurteilen Sie die okklusale Beziehung und erwägen Sie eine funktionelle Orthopädie.;Évaluer the relation occlusale and envisager l'orthopédie fonctionnelle.;
prognathisme maxillaire modéré;Surveillance régulière et évaluation pour plan de traitement adapté.;gpt4o;Surveillance régulière et évaluation pour plan de traitement adapté.;定期监测和评估，以制定适当的治疗计划。;الرصد والتقييم المنتظم لخطة العلاج المناسبة.;การติดตามและประเมินผลอย่างสม่ำเสมอเพื่อวางแผนการรักษาที่เหมาะสม;Monitorizare și evaluare periodică pentru un plan de tratament adecvat.;Regularne monitorowanie i ocena pod kątem odpowiedniego planu leczenia.;Acompanhamento e avaliação regulares para um plano de tratamento adequado.;適切な治療計画のための定期的なモニタリングと評価。;Monitoraggio e valutazione regolari per un piano di trattamento appropriato.;Seguimiento y evaluación periódicos para un plan de tratamiento adecuado.;Regelmäßige Überwachung und Beurteilung für einen angepassten Behandlungsplan.;Surveillance régulière and évaluation for plan of traitement adapté.;
prognathisme maxillaire modéré sévère;Considérer la chirurgie orthognathique pour corriger l'occlusion.;gpt4o;Considérer la chirurgie orthognathique pour corriger l'occlusion.;考虑进行正颌手术来矫正咬合。;النظر في إجراء جراحة تقويم الفكين لتصحيح الانسداد.;พิจารณาการผ่าตัดกระดูกขากรรไกรเพื่อแก้ไขการสบฟัน;Luați în considerare chirurgia ortognatică pentru a corecta ocluzia.;Rozważ operację ortognatyczną w celu skorygowania okluzji.;Considerar a cirurgia ortognática para corrigir a oclusão.;咬合を矯正するために顎矯正手術を考慮する。;Considerare la chirurgia ortognatica per correggere l'occlusione.;Considerar la cirugía ortognática para corregir la oclusión.;Orthognathe Chirurgie zur Korrektur der Okklusion erwägen.;Considérer the orthognathic surgery for corriger l'occlusion.;
prognathisme maxillaire sévère;Considérer chirurgie orthognathique pour corriger l'occlusion.;gpt4o;Considérer chirurgie orthognathique pour corriger l'occlusion.;考虑通过正颌手术矫正咬合。;النظر في إجراء جراحة تقويم الأسنان لتصحيح الانسداد.;พิจารณาการผ่าตัดกระดูกขากรรไกรเพื่อแก้ไขการสบฟัน;Luați în considerare chirurgia ortognatică pentru a corecta ocluzia.;Rozważ operację ortognatyczną w celu skorygowania okluzji.;Considerar a cirurgia ortognática para corrigir a oclusão.;咬合を矯正するために顎矯正手術を考慮する。;Considerare la chirurgia ortognatica per correggere l'occlusione.;Considerar la cirugía ortognática para corregir la oclusión.;Orthognathe Chirurgie zur Korrektur der Okklusion erwägen.;Considérer orthognathic surgery for corriger l'occlusion.;
protrusion;Surveillez l'occlusion et la fonction labiale. envisagez appareils pour rectifier l'alignement.;gpt4o;Surveillez l'occlusion et la fonction labiale. envisagez appareils pour rectifier l'alignement.;监测咬合情况和嘴唇功能，考虑使用矫治器矫正对齐。;مراقبة انسداد الشفتين ووظيفة الشفتين. النظر في الأجهزة لتصحيح المحاذاة.;ติดตามการอุดตันและการทำงานของริมฝีปาก พิจารณาอุปกรณ์เพื่อแก้ไขการจัดเรียง;Monitorizați ocluzia și funcția buzelor. Luați în considerare aparate pentru a corecta alinierea.;Monitorowanie okluzji i funkcji warg. Rozważenie aparatów korygujących ustawienie.;Monitorizar a oclusão e a função labial. Considerar aparelhos para corrigir o alinhamento.;咬合と口唇機能をモニターし、アライメントを矯正する器具を検討する。;Monitorare l'occlusione e la funzione delle labbra. Considerare apparecchi per correggere l'allineamento.;Controlar la oclusión y la función labial. Considerar aparatos para corregir la alineación.;Überwachen Sie die Okklusion und die Lippenfunktion. Ziehen Sie Geräte in Betracht, um die Ausrichtung zu korrigieren.;Surveillez l'occlusion and the fonction labiale. envisagez appareils for rectifier l'alignment.;
protrusion modérée unilatérale;Surveillance occlusion, envisager contentions asymétriques pour stabiliser.;gpt4o;Surveillance occlusion, envisager contentions asymétriques pour stabiliser.;监测闭塞情况，考虑使用非对称约束装置来稳定病情。;مراقبة الانسداد، والنظر في القيود غير المتماثلة لتحقيق الاستقرار.;เฝ้าระวังการอุดกั้น พิจารณาใช้การรัดที่ไม่สมมาตรเพื่อช่วยในการตรึง;Monitorizarea ocluziei, luarea în considerare a restricțiilor asimetrice pentru stabilizare.;Monitorowanie okluzji, rozważenie asymetrycznego unieruchomienia w celu stabilizacji.;Monitorização da oclusão, considerar restrições assimétricas para estabilizar.;咬合をモニタリングし、安定させるために非対称拘束を考慮する。;Monitoraggio dell'occlusione, considerare la possibilità di legature asimmetriche per la stabilizzazione.;Vigilancia de la oclusión, considerar sujeciones asimétricas para estabilizar.;Okklusionsüberwachung, asymmetrische Schienungen zur Stabilisierung erwägen.;Surveillance occlusion, envisager contentions asymmetric for stabiliser.;
prémolaire;Évaluer la position pour éviter l'encombrement et optimiser l'occlusion.;gpt4o;Évaluer la position pour éviter l'encombrement et optimiser l'occlusion.;评估位置，避免拥挤，优化咬合。;قم بتقييم الوضع لتجنب الازدحام وتحسين الانسداد.;ประเมินตำแหน่งเพื่อหลีกเลี่ยงการแออัดและเพิ่มประสิทธิภาพการสบฟัน;Evaluați poziția pentru a evita aglomerarea și a optimiza ocluzia.;Oceń pozycję, aby uniknąć stłoczenia i zoptymalizować okluzję.;Avaliar a posição para evitar apinhamentos e otimizar a oclusão.;叢生を避け、咬合を最適化するためのポジションを評価する。;Valutare la posizione per evitare l'affollamento e ottimizzare l'occlusione.;Evaluar la posición para evitar el apiñamiento y optimizar la oclusión.;Beurteilen Sie die Position, um Engstände zu vermeiden und die Okklusion zu optimieren.;Évaluer the position for éviter l'space requirement and optimiser l'occlusion.;
quad helix;Aide à l'expansion maxillaire transverse, utile pour corriger les mordus croisés antérieurs.;gpt4o;Aide à l'expansion maxillaire transverse, utile pour corriger les mordus croisés antérieurs.;有助于上颌骨横向扩张，对矫正前交叉咬合很有用。;يساعد على التمدد الفكي المستعرض، ويفيد في تصحيح العضة المتقاطعة الأمامية.;ช่วยในการขยายกระดูกขากรรไกรบนในแนวนอน มีประโยชน์ในการแก้ไขฟันหน้าคร่อมด้านหน้า;Ajută la expansiunea transversală maxilară, utilă pentru corectarea mușcăturilor încrucișate anterioare.;Pomaga w poprzecznej ekspansji szczęki, przydatnej do korygowania zgryzu krzyżowego przedniego.;Ajuda a expansão transversal da maxila, útil para a correção de mordidas cruzadas anteriores.;上顎の横方向への拡大を助け、前歯の反対咬合の矯正に有用。;Favorisce l'espansione mascellare trasversale, utile per correggere i morsi incrociati anteriori.;Ayuda a la expansión maxilar transversal, útil para corregir las mordidas cruzadas anteriores.;Hilft bei der transversalen Kieferexpansion, nützlich bei der Korrektur von Frontzahnkreuzbissen.;Aide to l'expansion maxilla transverse, utile for corriger the mordus croisés previous.;
respiration buccale;La respiration buccale peut induire une malocclusion et altérer le développement facial.;gpt4o;La respiration buccale peut induire une malocclusion et altérer le développement facial.;口呼吸会导致咬合不正，改变面部发育。;يمكن أن يؤدي التنفس عن طريق الفم إلى سوء الإطباق وتغيير نمو الوجه.;การหายใจทางปากอาจทำให้เกิดการสบฟันผิดปกติและเปลี่ยนแปลงการพัฒนาของใบหน้า;Respirația pe gură poate duce la malocluzie și poate altera dezvoltarea facială.;Oddychanie przez usta może prowadzić do wad zgryzu i zmieniać rozwój twarzy.;A respiração bucal pode levar a uma má oclusão e alterar o desenvolvimento facial.;口呼吸は不正咬合の原因となり、顔面の発育を変化させる。;La respirazione con la bocca può portare a una malocclusione e alterare lo sviluppo del viso.;La respiración bucal puede provocar maloclusión y alterar el desarrollo facial.;Die Mundatmung kann eine Malokklusion induzieren und die Gesichtsentwicklung beeinträchtigen.;the mouth breathing peut induire a malocclusion and altérer the development facial.;
respiration buccale modéré sévère;Surveillez occlusion et croissance maxillo-faciale, risque d'hypertrophie adénoïdienne.;gpt4o;Surveillez occlusion et croissance maxillo-faciale, risque d'hypertrophie adénoïdienne.;监测咬合和颌面部生长情况，腺样体肥大的风险。;مراقبة الانسداد ونمو الوجه والفكين، وخطر الإصابة بتضخم الغدد.;ติดตามการอุดกั้นและการเจริญเติบโตของขากรรไกรบนและล่าง, ความเสี่ยงของการโตของต่อมอะดีนอยด์;Monitorizați ocluzia și creșterea maxilofacială, riscul de hipertrofie adenoidă.;Monitorowanie okluzji i wzrostu szczękowo-twarzowego, ryzyko przerostu migdałków.;Monitorizar a oclusão e o crescimento maxilofacial, risco de hipertrofia adenoideia.;咬合と顎顔面の成長、アデノイド肥大のリスクを監視する。;Monitorare l'occlusione e la crescita maxillo-facciale, rischio di ipertrofia adenoidea.;Vigilar la oclusión y el crecimiento maxilofacial, riesgo de hipertrofia adenoidea.;Achten Sie auf Okklusion und Kieferwachstum, Gefahr einer Adenoidhypertrophie.;Surveillez occlusion and growth maxillo-faciale, risque d'hypertrophie adénoïdienne.;
ressaut articulaire;Le ressaut articulaire indique souvent un dysfonctionnement de l'ATM à investiguer.;gpt4o;Le ressaut articulaire indique souvent un dysfonctionnement de l'ATM à investiguer.;关节突出通常表示颞下颌关节功能障碍，应对此进行检查。;غالباً ما يشير بروز المفصل إلى وجود خلل وظيفي في المفصل الصدغي الفكي الصدغي والذي يجب التحقق منه.;เสียงคลิกที่เกิดขึ้นพร้อมกันมักบ่งชี้ถึงความผิดปกติของข้อต่อขากรรไกรที่ควรได้รับการตรวจวินิจฉัย;Protruzia articulară indică adesea o disfuncție TMJ, care trebuie investigată.;Wypukłość stawu często wskazuje na dysfunkcję stawu skroniowo-żuchwowego, którą należy zbadać.;A protrusão articular indica frequentemente uma disfunção da ATM, que deve ser investigada.;関節の突出は顎関節の機能障害を示すことが多いので、調査する必要がある。;La protrusione articolare spesso indica una disfunzione dell'ATM, che deve essere indagata.;La protrusión articular suele indicar una disfunción de la ATM, que debe investigarse.;Das Vorspringen des Gelenks weist oft auf eine Kiefergelenkfehlfunktion hin, die untersucht werden sollte.;the joint protrusion indique souvent a dysfonctionnement of l'atm to investiguer.;
rotation;Corriger la rotation par torque et bracketing précis pour alignement optimal.;gpt4o;Corriger la rotation par torque et bracketing précis pour alignement optimal.;通过扭矩和精确托架实现正确旋转，以达到最佳对齐效果。;الدوران الصحيح بعزم الدوران والدقة في التقوس للحصول على محاذاة مثالية.;หมุนอย่างถูกต้องด้วยแรงบิดที่แม่นยำและใช้ขาตั้งเพื่อจัดตำแหน่งให้เหมาะสมที่สุด;Rotație corectă prin cuplu și suporturi precise pentru aliniere optimă.;Prawidłowy obrót za pomocą momentu obrotowego i precyzyjne mocowanie dla optymalnego wyrównania.;Rotação correta por binário e suporte preciso para um alinhamento ótimo.;トルクによる正しい回転と正確なブラケットによる最適なアライメント。;Rotazione corretta tramite coppia e staffatura precisa per un allineamento ottimale.;Rotación correcta mediante par de apriete y sujeción precisa para una alineación óptima.;Korrigieren Sie die Rotation durch Torque und präzise Bracketing für eine optimale Ausrichtung.;Corriger the rotation par torque and bracketing précis for alignment optimal.;
récession gingivale;Surveillez l'hygiène buccale et ajustez les forces orthodontiques.;gpt4o;Surveillez l'hygiène buccale et ajustez les forces orthodontiques.;监测口腔卫生并调整矫正力。;مراقبة نظافة الفم وضبط قوى تقويم الأسنان.;ติดตามความสะอาดในช่องปากและปรับแรงจัดฟัน;Monitorizarea igienei orale și ajustarea forțelor ortodontice.;Monitoruj higienę jamy ustnej i dostosuj siły ortodontyczne.;Monitorizar a higiene oral e ajustar as forças ortodônticas.;口腔衛生状態をモニターし、矯正力を調整する。;Controllare l'igiene orale e regolare le forze ortodontiche.;Controlar la higiene bucal y ajustar las fuerzas ortodóncicas.;Überwachen Sie die Mundhygiene und passen Sie die kieferorthopädischen Kräfte an.;Surveillez l'hygiene buccale and ajustez the forces orthodontiques.;
récidive;Surveillez la contention, ajustez si nécessaire pour éviter la récidive.;gpt4o;Surveillez la contention, ajustez si nécessaire pour éviter la récidive.;监控约束装置，必要时进行调整，以防止再次发生。;مراقبة ضبط النفس وتعديله إذا لزم الأمر لمنع تكراره.;ตรวจสอบอุปกรณ์ยึดให้แน่นและปรับให้เหมาะสมหากจำเป็น เพื่อป้องกันการเกิดซ้ำ;Monitorizați imobilizarea și ajustați-o, dacă este necesar, pentru a preveni reapariția.;Monitoruj przytrzymanie i dostosuj je w razie potrzeby, aby zapobiec jego ponownemu wystąpieniu.;Monitorizar a retenção e ajustar, se necessário, para evitar a recorrência.;拘束を監視し、再発防止のために必要であれば調整する。;Monitorare la contenzione e modificarla, se necessario, per evitare che si ripeta.;Controle la sujeción y ajústela si es necesario para evitar que se repita.;Überwachen Sie die Fixierung, passen Sie sie ggf. an, um ein Wiederauftreten zu verhindern.;Surveillez the restraint, ajustez si nécessaire for éviter the relapse.;
résorption radiculaire;Surveillez la résorption radiculaire via radiographies régulières. Ajustez les forces si nécessaire.;gpt4o;Surveillez la résorption radiculaire via radiographies régulières. Ajustez les forces si nécessaire.;定期拍摄 X 光片，监测牙根吸收情况。必要时调整压力。;مراقبة ارتشاف الجذور باستخدام الأشعة السينية المنتظمة. ضبط القوى إذا لزم الأمر.;ติดตามการดูดซึมรากฟันโดยใช้เอ็กซเรย์เป็นประจำ ปรับแรงหากจำเป็น;Monitorizați resorbția radiculară cu radiografii regulate. Reglați forțele dacă este necesar.;Monitoruj resorpcję korzeni za pomocą regularnych zdjęć rentgenowskich. W razie potrzeby dostosuj siły.;Monitorizar a reabsorção radicular com radiografias regulares. Ajustar as forças, se necessário.;定期的なX線検査で歯根吸収をモニターする。必要に応じて力を調整する。;Monitorare il riassorbimento radicolare con radiografie regolari. Se necessario, regolare le forze.;Controlar la reabsorción radicular con radiografías periódicas. Ajuste las fuerzas si es necesario.;Überwachen Sie die Wurzelresorption durch regelmäßige Röntgenaufnahmen. Passen Sie die Stärke ggf. an.;Surveillez the root resorption via radiographs régulières. Ajustez the forces si nécessaire.;
rétroalvéolie;Surveillance nécessaire. rétroalvéolie peut induire occlusion classe II.;gpt4o;Surveillance nécessaire. rétroalvéolie peut induire occlusion classe II.;肺泡后溶解可诱发 II 级闭塞。;قد يؤدي انحلال الصمامات الرجعية إلى انسداد من الدرجة الثانية.;ต้องมีการติดตามผล การเรียงตัวหลังฟันกรามอาจทำให้เกิดการสบฟันประเภทที่ 2;Retroalveoliza poate induce ocluzie de clasa II.;Retropęcherzyki mogą powodować niedrożność klasy II.;A retroalveólise pode induzir uma oclusão de classe II.;後弁膜症はclass IIの閉塞を引き起こす可能性がある。;La retroalveolisi può indurre un'occlusione di classe II.;La retroalveolisis puede inducir una oclusión de clase II.;Überwachung erforderlich. Retroalveolie kann Okklusion der Klasse II induzieren.;Surveillance nécessaire. retroalveolus peut induire occlusion class ii.;
rétroalvéolie maxillaire sévère;Considérer expansion maxillaire et chirurgie orthognathique.;gpt4o;Considérer expansion maxillaire et chirurgie orthognathique.;考虑进行上颌骨扩张和正颌外科手术。;النظر في توسيع الفك العلوي وجراحة تقويم الفكين.;พิจารณาการขยายกระดูกขากรรไกรบนและการผ่าตัดกระดูกขากรรไกร;Luați în considerare expansiunea maxilară și chirurgia ortognatică.;Rozważ rozszerzenie szczęki i operację ortognatyczną.;Considerar a expansão maxilar e a cirurgia ortognática.;上顎の拡大と顎矯正手術を検討する。;Considerare l'espansione mascellare e la chirurgia ortognatica.;Considerar la expansión maxilar y la cirugía ortognática.;Berücksichtigen Sie Kieferexpansion und orthognathe Chirurgie.;Considérer expansion maxilla and orthognathic surgery.;
rétrusion;La rétrusion nécessite une évaluation occlusale précise pour plan de traitement optimal.;gpt4o;La rétrusion nécessite une évaluation occlusale précise pour plan de traitement optimal.;反咬合需要进行精确的咬合评估，以制定最佳治疗方案。;يتطلب الارتداد تقييم دقيق للإطباق من أجل وضع خطة علاج مثالية.;การถอยหลังของฟันจำเป็นต้องมีการประเมินการสบฟันอย่างแม่นยำเพื่อวางแผนการรักษาที่เหมาะสมที่สุด;Retrusia necesită o evaluare ocluzală precisă pentru un plan de tratament optim.;Retruzja wymaga dokładnej oceny zgryzu w celu uzyskania optymalnego planu leczenia.;A retrusão requer uma avaliação oclusal precisa para um plano de tratamento ótimo.;再突入には、最適な治療計画を立てるための精密な咬合評価が必要です。;La retrusione richiede una valutazione occlusale precisa per un piano di trattamento ottimale.;La retrusión requiere una evaluación oclusal precisa para un plan de tratamiento óptimo.;Die Retrusion erfordert eine genaue okklusale Beurteilung für einen optimalen Behandlungsplan.;the retrofusion nécessite a évaluation occlusale précise for plan of traitement optimal.;
rétrusion amovible;Utiliser une plaque active pour corriger la rétrusion dentaire.;gpt4o;Utiliser une plaque active pour corriger la rétrusion dentaire.;使用活动牙板矫正牙齿倒退。;استخدام صفيحة نشطة لتصحيح تراجع الأسنان.;ใช้แผ่นเพลทแบบแอคทีฟเพื่อแก้ไขฟันที่ถอย;Utilizați o placă activă pentru a corecta retrogradarea dentară.;Użyj aktywnej płytki, aby skorygować retrogresję zębów.;Utilizar uma placa ativa para corrigir o retrocesso dentário.;歯列後退の矯正には、アクティブプレートを使用する。;Utilizzare una placca attiva per correggere la retrogressione dentale.;Utilizar una placa activa para corregir la retrogresión dental.;Verwenden Sie eine aktive Platte, um die Retrusion der Zähne zu korrigieren.;Utiliser a plaque active for corriger the dental retrofusion.;
scanner intra-oral;Optimise la précision des empreintes numériques, réduit le temps de traitement.;gpt4o;Optimise la précision des empreintes numériques, réduit le temps de traitement.;优化数码打印的准确性，缩短处理时间。;تحسين دقة المطبوعات الرقمية وتقليل وقت المعالجة.;เพิ่มประสิทธิภาพความแม่นยำของการพิมพ์ดิจิทัลและลดเวลาในการประมวลผล;Optimizează precizia imprimărilor digitale, reduce timpul de procesare.;Optymalizuje dokładność wydruków cyfrowych, skraca czas przetwarzania.;Optimiza a precisão das impressões digitais e reduz o tempo de processamento.;デジタルプリントの精度を最適化し、処理時間を短縮。;Ottimizza la precisione delle stampe digitali e riduce i tempi di elaborazione.;Optimiza la precisión de las impresiones digitales y reduce el tiempo de procesamiento.;Optimiert die Genauigkeit von digitalen Abdrücken, verkürzt die Bearbeitungszeit.;Optimise the précision some digital footprints, réduit the temps of traitement.;
spacing;Considérer un traitement interceptif pour optimiser l'alignement dentaire et prévenir les malocclusions.;gpt4o;Considérer un traitement interceptif pour optimiser l'alignement dentaire et prévenir les malocclusions.;考虑进行矫正治疗，以优化牙齿排列，预防畸形。;ضع في اعتبارك العلاج الاعتراضي لتحسين محاذاة الأسنان والوقاية من سوء الإطباق.;พิจารณาการรักษาเชิงป้องกันเพื่อปรับแนวฟันให้เหมาะสมและป้องกันการสบฟันผิดปกติ;Luați în considerare tratamentul interceptiv pentru a optimiza alinierea dentară și a preveni malocluziile.;Rozważ leczenie interceptywne, aby zoptymalizować ustawienie zębów i zapobiec wadom zgryzu.;Considerar o tratamento intercetivo para otimizar o alinhamento dentário e prevenir as más oclusões.;歯並びを最適化し、不正咬合を予防するために、インターセプティブ治療を考慮する。;Considerare un trattamento intercettivo per ottimizzare l'allineamento dentale e prevenire le malocclusioni.;Considere el tratamiento interceptivo para optimizar la alineación dental y prevenir las maloclusiones.;Ziehen Sie eine interzeptive Behandlung in Betracht, um die Zahnausrichtung zu optimieren und Malokklusionen zu verhindern.;Considérer a interceptive treatment for optimiser l'dental alignment and prévenir the malocclusions.;
stripping;Optimise l'espace d'alignement en réduisant sélectivement l'émail interproximal.;gpt4o;Optimise l'espace d'alignement en réduisant sélectivement l'émail interproximal.;通过选择性地减少牙周釉质，优化排列空间。;يحسّن مساحة المحاذاة من خلال تقليل انتقائي للمينا بين الأسنان البينية.;ปรับพื้นที่การจัดฟันให้เหมาะสมโดยการลดเคลือบฟันระหว่างซี่อย่างเฉพาะเจาะจง;Optimizează spațiul de aliniere prin reducerea selectivă a smalțului interproximal.;Optymalizuje przestrzeń wyrównania poprzez selektywną redukcję szkliwa międzyzębowego.;Optimiza o espaço de alinhamento através da redução selectiva do esmalte interproximal.;臼歯間エナメル質を選択的に減少させることにより、アライメントスペースを最適化します。;Ottimizza lo spazio di allineamento riducendo selettivamente lo smalto interprossimale.;Optimiza el espacio de alineación reduciendo selectivamente el esmalte interproximal.;Optimiert den Alignerspalt durch selektive Reduktion des interproximalen Zahnschmelzes.;Optimise l'space d'alignment en réduisant sélectivement l'émail interproximal.;
succion;Surveillance nécessaire pour éviter malocclusions et déformations palatines.;gpt4o;Surveillance nécessaire pour éviter malocclusions et déformations palatines.;为防止畸形和腭畸形，有必要进行监测。;المراقبة ضرورية للوقاية من سوء الإطباق وتشوهات الحنك.;การเฝ้าระวังเป็นสิ่งจำเป็นเพื่อป้องกันการสบฟันผิดปกติและความผิดปกติของเพดานปาก;Monitorizarea este necesară pentru a preveni malocluziile și deformările palatine.;Monitorowanie jest konieczne, aby zapobiec wadom zgryzu i deformacjom podniebienia.;O controlo é necessário para prevenir más oclusões e deformações palatinas.;不正咬合や口蓋変形を予防するためには、モニタリングが必要である。;Il monitoraggio è necessario per prevenire malocclusioni e deformazioni palatali.;El seguimiento es necesario para prevenir maloclusiones y deformidades palatinas.;Überwachung notwendig, um Malokklusionen und Gaumendeformitäten zu vermeiden.;Surveillance nécessaire for éviter malocclusions and déformations palatines.;
succion digitale;Surveillez la succion digitale : risque de malocclusion antérieure et déformation palatine.;gpt4o;Surveillez la succion digitale : risque de malocclusion antérieure et déformation palatine.;监控数字吸引：前牙咬合不正和腭部畸形的风险。;مراقبة الشفط الرقمي: خطر سوء الإطباق الأمامي وتشوه الحنك.;เฝ้าระวังการดูดนิ้วหัวแม่มือ: เสี่ยงต่อการสบฟันผิดปกติด้านหน้าและการผิดรูปของเพดานปาก;Monitorizați aspirația digitală: risc de malocluzie anterioară și deformare palatină.;Monitorowanie odsysania cyfrowego: ryzyko przednich wad zgryzu i deformacji podniebienia.;Monitorizar a sucção digital: risco de má oclusão anterior e deformidade palatina.;デジタル吸引のモニター：前歯部不正咬合と口蓋変形のリスク。;Monitoraggio dell'aspirazione digitale: rischio di malocclusione anteriore e deformità palatale.;Monitorizar la succión digital: riesgo de maloclusión anterior y deformidad palatina.;Achten Sie auf das digitale Saugen: Risiko einer anterioren Malokklusion und Gaumendeformation.;Surveillez the suction digital : risque of malocclusion previous and déformation palatine.;
supraclusion;Supraclusion : réduction de l'overbite par meulage sélectif et alignement.;gpt4o;Supraclusion : réduction de l'overbite par meulage sélectif et alignement.;咬合过度：通过选择性磨削和对齐来减少咬合过度。;العضة الزائدة: الحد من العضة الزائدة عن طريق الطحن الانتقائي والمحاذاة.;การสบฟันลึก: การลดการสบฟันลึกโดยการเจียรและจัดเรียงฟันอย่างเฉพาะเจาะจง;Mușcătura excesivă: reducerea mușcăturii excesive prin rectificare selectivă și aliniere.;Przodozgryz: redukcja przodozgryzu poprzez selektywne szlifowanie i wyrównanie.;Mordida excessiva: redução da mordida excessiva através de um desbaste e alinhamento selectivos.;過蓋咬合：選択的な研磨とアライメントにより、過蓋咬合を軽減する。;Overbite: riduzione dell'overbite mediante molatura e allineamento selettivo.;Sobremordida: reducción de la sobremordida mediante tallado selectivo y alineación.;Supraclusion: Reduzierung des Übermaßes durch selektives Schleifen und Ausrichten.;supraclusion : réduction of l'overbite par grinding sélectif and alignment.;
supraposition;La supraposition nécessite un ajustement pour éviter un contact prématuré occlusal.;gpt4o;La supraposition nécessite un ajustement pour éviter un contact prématuré occlusal.;超位需要调整，以避免咬合面过早接触。;يتطلب الوضع الفوقي تعديل الوضع الفوقي لتجنب التلامس الإطباقي السابق لأوانه.;การเคลือบต้องปรับเพื่อป้องกันการสัมผัสของฟันก่อนเวลาอันควร;Suprapoziția necesită ajustare pentru a evita contactul ocluzal prematur.;Suprapozycja wymaga regulacji, aby uniknąć przedwczesnego kontaktu okluzyjnego.;A supraposição requer um ajuste para evitar um contacto oclusal prematuro.;上部位は、早期の咬合接触を避けるために調整が必要である。;La sovraposizione richiede una regolazione per evitare un contatto occlusale prematuro.;La supraposición requiere un ajuste para evitar un contacto oclusal prematuro.;Die Supraposition erfordert eine Anpassung, um einen vorzeitigen Okklusalkontakt zu vermeiden.;the supraposition nécessite a ajustement for éviter a contact prématuré occlusal.;
supraposition central;Vérifier l'occlusion, ajuster l'appareil pour corriger la supraposition centrale.;gpt4o;Vérifier l'occlusion, ajuster l'appareil pour corriger la supraposition centrale.;检查咬合情况，调整矫治器以矫正中央过度咬合。;تحقق من الانسداد، واضبط الجهاز لتصحيح تراكب العضة المركزية.;ตรวจสอบการสบฟัน ปรับอุปกรณ์ให้ถูกต้องเพื่อแก้ไขการซ้อนทับตรงกลาง;Verificați ocluzia, ajustați aparatul pentru a corecta supra mușcătura centrală.;Sprawdź okluzję, dostosuj aparat, aby skorygować przodozgryz centralny.;Verificar a oclusão, ajustar o aparelho para corrigir a sobremordida central.;咬合をチェックし、装置を調整して中心性過蓋咬合を矯正します。;Controllare l'occlusione, regolare l'apparecchio per correggere l'overbite centrale.;Comprobar la oclusión, ajustar el aparato para corregir la sobremordida central.;Überprüfen Sie die Okklusion, stellen Sie die Spange ein, um die zentrale Supraposition zu korrigieren.;Vérifier l'occlusion, ajuster l'appareil for corriger the supraposition power plant.;
tong e;Vérifier la posture linguale, évaluer pour une éventuelle déglutition atypique.;gpt4o;Vérifier la posture linguale, évaluer pour une éventuelle déglutition atypique.;检查舌位姿势，评估非典型吞咽。;التحقق من وضعية اللسان، وتقييم البلع غير النمطي.;ตรวจสอบท่าทางของลิ้นและประเมินการกลืนที่ไม่ปกติ;Verificați postura linguală, evaluați în cazul înghițirii atipice.;Sprawdzenie pozycji językowej, ocena pod kątem nietypowego połykania.;Verificar a postura lingual, avaliar a deglutição atípica.;舌の姿勢をチェックし、非典型的な嚥下を評価する。;Controllare la postura linguale, valutare la presenza di deglutizione atipica.;Comprobar la postura lingual, evaluar la deglución atípica.;Zungenhaltung überprüfen, auf atypisches Schlucken untersuchen.;Vérifier the posture linguale, évaluer for a éventuelle swallowing atypical.;
